"date","team","opponents","where","competition","time","score"
"18/01/2019","FLAMES","KILMARNOCK","AWAY","LEAGUE","9:00PM","6-3"
"19/01/2019","KESTRELS","DUNDEE TIGERS","AWAY","LEAGUE","7:30PM","6-4"
"19/01/2019","EAGLES","BELFAST","HOME","CHALLENGE","5:30PM","11-2"
"19/01/2019","REDSKINS","BELFAST","HOME","LEAGUE & SCOT CUP","4:15PM","14-1"
"19/01/2019","FLAMES","SOLWAY","HOME","LEAGUE","7:15PM","4-1"
"19/01/2019","FALCONS","MURRAYFIELD","AWAY","LEAGUE","4:45PM","5-4"
"26/01/2019","REDSKINS","LANARKSHIRE","HOME","LEAGUE","6:30PM","8-3"
"26/01/2019","CHIEFS","ELGIN","HOME","LEAGUE","8:00PM","CANC"
"26/01/2019","FALCONS","SOLWAY","AWAY","LEAGUE","3.45pm","6-3"
"27/01/2019","KESTRELS","MURRAYFIELD","AWAY","SCOT CUP SEMI LEG 1","6:00PM","0-6"
"02/02/2019","REDSKINS","AYR BRUINS","AWAY","LEAGUE","3:15PM","24-0"
"03/02/2019","EAGLES","MURRAYFIELD","HOME","CHALLENGE","5:30PM","7-1"
"03/02/2019","KESTRELS","NORTH AYR","HOME","LEAGUE","7:15PM","10-3"
"09/02/2019","REDSKINS","ABERDEEN","HOME","LEAGUE","6:30PM","9-0"
"09/02/2019","FALCONS","ABERDEEN","HOME","LEAGUE","8:00PM","14-6"
"10/02/2019","FLAMES","LANARKSHIRE","AWAY","SCOT CUP","10:00AM","7-2"
"10/02/2019","KESTRELS","MURRAYFIELD","AWAY","LEAGUE","6:00PM","3-3"
"16/02/2019","FALCONS","NORTH AYR","AWAY","LEAGUE","7:30PM","10-4"
"17/02/2019","REDSKINS","SOLWAY","AWAY","LEAGUE","10.00AM","4-2"
"17/02/2019","EAGLES","AYR BRUINS","HOME","CHALLENGE","5:30PM","7-4"
"17/02/2019","KESTRELS","DUNDEE COMETS","HOME","LEAGUE","7:15PM","8-5"
"22/02/2019","FALCONS","ST ANDREWS UNI","HOME","CHALLENGE","9:15PM","7-7"
"23/02/2019","KESTRELS","ABERDEEN","AWAY","LEAGUE","7:15PM","0-5"
"02/03/2019","EAGLES","DUNDEE","HOME","CHALLENGE","5:30PM","17-1"
"02/03/2019","KESTRELS","SOLWAY","HOME","LEAGUE","7:15PM","19-0"
"02/03/2019","REDSKINS","KILMARNOCK","AWAY","LEAGUE","3.30PM","15-4"
"02/03/2019","CHIEFS","KILMARNOCK","AWAY","LEAGUE","5.00PM","6-10"
"03/03/2019","FLAMES","BELFAST","HOME","SCOTTISH CUP SEMI","11:30AM","9-3"
"03/03/2019","REDSKINS","KILMARNOCK","HOME","LEAGUE","5:30PM","17-0"
"03/03/2019","FALCONS","SOLWAY","HOME","LEAGUE","7:00PM","4-4"
"08/03/2019","FALCONS","EDINBURGH UNI","HOME","CHALLENGE","9:15PM","9-3"
"09/03/2019","REDSKINS","BELFAST","AWAY","LEAGUE","11:00AM","9-2"
"09/03/2019","CHIEFS","BELFAST","AWAY","LEAGUE","12:30PM","7-1"
"09/03/2019","FLAMES","BELFAST","AWAY","LEAGUE","2:00PM","1-3"
"09/03/2019","KESTRELS","NORTH AYR","HOME","SNL PLAYOFF QTR FINAL LEG 1","7:15PM","8-4"
"15/03/2019","CHIEFS","LANARKSHIRE","AWAY","LEAGUE","8:15PM","6-2"
"16/03/2019","EAGLES","NORTH AYR","AWAY","CHALLENGE","12.15PM","19-0"
"16/03/2019","REDSKINS","NORTH AYR","AWAY","LEAGUE","6.00PM","7-3"
"16/03/2019","FLAMES","NORTH AYR","AWAY","LEAGUE","7.30PM","8-2"
"17/03/2019","KESTRELS","MURRAYFIELD","HOME","SCOT CUP SEMI LEG 2","6:15PM","3-5"
"22/03/2019","FALCONS","KILMARNOCK","HOME","LEAGUE","9:15PM","9-4"
"23/03/2019","CHIEFS","DUNDEE","HOME","SCOTTISH CUP SEMI","12:15PM","6-4"
"23/03/2019","FALCONS","SOLWAY","AWAY","SCOTTISH CUP SEMI","4.00PM","5-3"
"24/03/2019","KESTRELS","NORTH AYR","AWAY","SNL PLAYOFF QTR FINAL LEG 2","6:00PM","7-7"
"30/03/2019","REDSKINS","SOLWAY","HOME","SCOTTISH CUP SEMI FINAL","12:15PM","2-0"
"30/03/2019","CHIEFS","LANARKSHIRE","HOME","LEAGUE","6:30PM","4-4"
"30/03/2019","FLAMES","LANARKSHIRE","HOME","LEAGUE","8:00PM","6-1"
"30/03/2019","EAGLES","AYR BRUINS","AWAY","3 TEAM CHALLENGE","2.30PM",""
"30/03/2019","KESTRELS","PAISLEY","AWAY-DUNDEE","SNL PLAYOFF SEMI FINAL","7:30PM","3-4"
"06/04/2019","FALCONS","ABERDEEN","AWAY","LEAGUE","6:30PM","12-2"
"07/04/2019","FLAMES","LANARKSHIRE","AWAY","LEAGUE","10:00AM","7-0"
"13/04/2019","EAGLES","AYR BRUINS","AWAY","CHALLENGE","2.30PM",""
"13/04/2019","REDSKINS","AYR BRUINS","HOME","LEAGUE","6:30PM","19-0"
"13/04/2019","CHIEFS","KILMARNOCK","HOME","LEAGUE","8:00PM","4-2"
"13/04/2019","FALCONS","KILMARNOCK","AWAY","LEAGUE","3:30PM","10-3"
"20/04/2019","CHIEFS","ELGIN","HOME","LEAGUE","6:30PM","25-0"
"24/04/2019","FALCONS","DUNDEE","AWAY","LEAGUE","7:15PM","CANC"
"26/04/2019","FALCONS","MURRAYFIELD","HOME","LEAGUE","9:15PM","11-1"
"27/04/2019","FLAMES","KILMARNOCK","HOME","LEAGUE","8:00PM","10-5"
"11/05/2019","REDSKINS","NORTH AYR","AWAY- DUNDEE","SCOTTISH CUP FINAL","10:00AM","3-0"
"11/05/2019","CHIEFS","KILMARNOCK","AWAY- DUNDEE","SCOTTISH CUP FINAL","12:00PM","6-3"
"11/05/2019","FLAMES","DUNDEE","AWAY- DUNDEE","SCOTTISH CUP FINAL","2:00PM","2-10"
"11/05/2019","FALCONS","DUNDEE/MURRAYFIELD","AWAY-DUNDEE","SCOTTISH CUP FINAL","4:00PM","10-3"
"08/06/2019","KUBZ","SHEFFIELD","AWAY","TOURNAMENT","8:00AM","Runners Up"
"08/06/2019","EAGLES","SHEFFIELD","AWAY","TOURNAMENT","8:00AM","Runners Up"
"29/06/2019","REDSKINS","TELFORD","AWAY","TOURNAMENT","8:00AM",""
"29/06/2019","CHIEFS","TELFORD","AWAY","TOURNAMENT","8:00AM",""
"29/06/2019","FLAMES","TELFORD","AWAY","TOURNAMENT","8:00AM",""
