"date","team","opponents","where","competition","time","score"
"01/02/2020","FLAMES","KILMARNOCK","AWAY","LEAGUE","5:00PM","4-3"
"02/02/2020","KESTRELS","KILMARNOCK","HOME","LEAGUE","7:15PM","17-0"
"08/02/2020","EAGLES","LANARKSHIRE","AWAY","CHALLENGE","5:45PM","17-1"
"08/02/2020","REDSKINS","DUNDEE","AWAY","LEAGUE","4:45PM","2-4"
"08/02/2020","KESTRELS","DUNDEE COMETS","AWAY","LEAGUE","7:30PM","3-11"
"09/02/2020","REDSKINS","ABERDEEN","HOME","LEAGUE","4:15PM","6-1"
"09/02/2020","KESTRELS","MURRAYFIELD","HOME","LEAGUE","6:45PM","2-5"
"15/02/2020","KUBZ","X-ICE","HOME","CHALLENGE","12:15PM",""
"15/02/2020","CHIEFS","NORTH AYR","AWAY","SCOTTISH CUP","7:30PM","8-0"
"15/02/2020","KESTRELS","ABERDEEN","HOME","LEAGUE","7:15PM","4-2"
"15/02/2020","REDSKINS","BELFAST","AWAY","LEAGUE","11:00AM","5-1"
"15/02/2020","FALCONS","BELFAST","AWAY","LEAGUE","12:30PM","7-1"
"21/02/2020","KESTRELS","SCOTLAND U19","HOME","CHALLENGE","9:15PM","3-6"
"22/02/2020","FALCONS","KILMARNOCK","AWAY","LEAGUE & SCOT CUP","5:00PM","7-4"
"23/02/2020","KESTRELS","PAISLEY","AWAY","LEAGUE","4:30PM","6-5"
"29/02/2020","KUBZ","KILMARNOCK","AWAY","X-ICE","2:15PM",
"29/02/2020","EAGLES","NORTH AYR","HOME","CHALLENGE","6:30PM","23-1"
"29/02/2020","KESTRELS","NORTH AYR","HOME","LEAGUE","8:15PM","3-2"
"29/02/2020","REDSKINS","ABERDEEN","AWAY","LEAGUE","6:30PM","CANC"
"01/03/2020","REDSKINS","NORTH AYR","HOME","LEAGUE","4:15PM","1-3"
"01/03/2020","FALCONS","NORTH AYR","HOME","LEAGUE","6:00PM","12-0"
"07/03/2020","KUBZ","SOLWAY","HOME","X-ICE","12:15PM",""
"07/03/2020","CHIEFS","INVERNESS","HOME","LEAGUE","6:30PM","CANC"
"07/03/2020","FLAMES","DUNDEE","HOME","LEAGUE","8:00PM","0-13"
"08/03/2020","CHIEFS","SOLWAY","AWAY","SCOTTISH CUP","11:30AM","6-1"
"14/03/2020","KUBZ","X-ICE","HOME","CHALLENGE","12:15PM","CANC"
"14/03/2020","EAGLES","LANARKSHIRE","AWAY","CHALLENGE","5:45PM","CANC"
"14/03/2020","REDSKINS","NORTH AYR","AWAY","LEAGUE","6:00PM","CANC"
"14/03/2020","FLAMES","NORTH AYR","AWAY","LEAGUE","7:30PM","CANC"
"15/03/2020","FALCONS","AYR (at Kilmarnock)","AWAY","LEAGUE","3:00PM","31-1"
"15/03/2020","CHIEFS","KILMARNOCK","HOME","LEAGUE","4:15PM","21-1"
"15/03/2020","FLAMES","KILMARNOCK","HOME","LEAGUE","6:00PM","2-5"
"21/03/2020","CHIEFS","LANARKSHIRE","DUNDEE","SCOTTISH CUP FINAL","12:00PM","CANC"
"21/03/2020","FALCONS","NORTH AYR","DUNDEE","SCOTTISH CUP FINAL","4:00PM","CANC"
"22/03/2020","CHIEFS","NORTH AYR","HOME","LEAGUE","4:15PM","CANC"
"22/03/2020","FLAMES","NORTH AYR","HOME","LEAGUE","6:00PM","CANC"
"22/03/2020","KESTRELS","DUNDEE TIGERS","AWAY","SNL PLAYOFF","8:00PM","CANC"
"28/03/2020","EAGLES","AYR BRUINS","AWAY","CHALLENGE","3:15PM","CANC"
"28/03/2020","REDSKINS","KILMARNOCK","AWAY","LEAGUE","3:30PM","CANC"
"28/03/2020","FALCONS","NORTH AYR","AWAY","LEAGUE","7:30PM","CANC"
"29/03/2020","KESTRELS","DUNDEE TIGERS","HOME","SNL PLAYOFF","5:00PM","CANC"
"29/03/2020","REDSKINS","NORTH AYR","AWAY","LEAGUE","5:30PM","CANC"
"04/04/2020","EAGLES","LANARKSHIRE","AWAY","CHALLENGE","5:45PM","CANC"
"04/04/2020","REDSKINS","ABERDEEN","AWAY","LEAGUE","6:00PM","CANC"
"04/04/2020","CHIEFS","ABERDEEN","AWAY","LEAGUE","7:30PM","CANC"
"11/04/2020","REDSKINS","AYR BRUINS","HOME","LEAGUE","6:30PM","CANC"
"11/04/2020","FALCONS","AYR BRUINS","HOME","LEAGUE","8:00PM","CANC"
"12/04/2020","CHIEFS","ABERDEEN","HOME","LEAGUE","4:15PM","CANC"
"12/04/2020","REDSKINS","DUNDEE","HOME","LEAGUE","6:00PM",""CANC
"12/04/2020","FALCONS","DUNDEE","HOME","LEAGUE","7:30PM","CANC"
"18/04/2020","KUBZ","X-ICE","HOME","CHALLENGE","12:15PM","CANC"
"18/04/2020","EAGLES","AYR BRUINS","AWAY","CHALLENGE","3:15PM","CANC"
"19/04/2020","CHIEFS","SOLWAY","AWAY","LEAGUE","3:45PM","CANC"
"19/04/2020","FLAMES","SOLWAY","AWAY","LEAGUE","5:15PM","CANC"
"19/04/2020","EAGLES","KILMARNOCK","HOME","CHALLENGE","4:15PM","CANC"
"19/04/2020","FALCONS","MURRAYFIELD","HOME","LEAGUE","6:00PM","CANC"
"25/04/2020","CHIEFS","LANARKSHIRE","HOME","LEAGUE","6:30PM","CANC"
"25/04/2020","FLAMES","SOLWAY","HOME","LEAGUE","8:00PM","CANC"
"26/04/2020","FALCONS","KILMARNOCK","HOME","LEAGUE","6:00PM","CANC"
"23/05/2020","EAGLES","KILMARNOCK","AWAY","TOURNAMENT","7:00AM","CANC"
"30/05/2020","REDSKINS","KILMARNOCK","AWAY","TOURNAMENT","7:00AM","CANC"
"06/06/2020","KUBZ","SHEFFIELD u9","AWAY","TOURNAMENT","7:00AM","CANC"
"13/06/2020","EAGLES","SHEFFIELD u11","AWAY","TOURNAMENT","7:00AM","CANC"


